sort	study	ref	source	species	taxon	thermy	growth	climate_pop	climate_sp	breeding	dispersal	migration	mating	parenting	SSD	ageclass	trait	unit	direction	category	background	Mean_M	SD_M	M_n	Mean_F	SD_F	F_n	dependence	notes
29	194	"Harris, S; Eroukhmanoff, F; Green, KK; Svensson, EI; Pettersson, LB"	10.1111/j.1420-9101.2011.02322.x	Asellus aquaticus	arthropod	ectotherm	indeterminate	temperate	temperate	semelparous	unknown	no	promiscuity	none	males larger	adults	No. Of stopps during exploration	No	high values = slow	behaviour	semiwild	6.4	3.968626967	175	5.5	4.242640687	200	0	
23	210	"Hinton, MG; Bendelow, A; Lantz, S; Wey, TW; Schoen, L; Brockett, R; Karubian, J"	10.1002/zoo.21078	Phoenicopterus ruber	bird	endotherm	determinate	tropical	tropical	iteroparous	no sex bias	yes	promiscuity	both	males larger	adults	No. Of aggression	No	high values = fast	behaviour	wild	2.72	0.96	16	1.84	0.424264069	18	a	same trait measured in the same individuals before and after pair pair-bond
24	210	"Hinton, MG; Bendelow, A; Lantz, S; Wey, TW; Schoen, L; Brockett, R; Karubian, J"	10.1002/zoo.21078	Phoenicopterus ruber	bird	endotherm	determinate	tropical	tropical	iteroparous	no sex bias	yes	promiscuity	both	males larger	adults	No. Of aggression	No	high values = fast	behaviour	wild	4.41	0.84	16	2.76	0.806101731	18	a	same trait measured in the same individuals before and after pair pair-bond
91	221	Isaksson et al.	10.1163/000579511X574204	Egernia whitii	reptile	ectotherm	unknown	temperate	temperate	iteroparous	no sex bias	no	polygyny	none	no difference	adults	Testosterone	ng/ml	high values = fast	physiology	semiwild	20.81	5.780795793	6	1.76	1.98	9	0	
22	250	"Korsten, P; van Overveld, T; Adriaensen, F; Matthysen, E"	10.1038/ncomms3362	Parus major	bird	endotherm	determinate	temperate	temperate	iteroparous	female biased	no	social monogamy	both	males larger	juvenile	dispersal distance	m	high values = fast	behaviour	wild	423	410.1121798	657	631	526.623205	573	0	
25	284	"Mainwaring, MC; Beal, JL; Hartley, IR"	10.1016/j.beproc.2011.03.005	Taeniopygia guttata	bird	endotherm	determinate	tropical	tropical	iteroparous	no sex bias	no	social monogamy	both	no difference	mixed	No. Of feeders visited in NE	No	high values = fast	behaviour	lab	1.1	1.391941091	31	2.2	2.061552813	17	0	Fig 2 A
26	284	"Mainwaring, MC; Beal, JL; Hartley, IR"	10.1016/j.beproc.2011.03.005	Taeniopygia guttata	bird	endotherm	determinate	tropical	tropical	iteroparous	no sex bias	no	social monogamy	both	no difference	mixed	NO score	score	high values = fast	behaviour	lab	2	1.113552873	31	2.9	0.927698766	17	0	Fig 2B
39	293	"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH"	10.1163/156853912X634430	Neolamprologus caudopunctatus	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	female biased	no	social monogamy	both	males larger	adults	time spent swimming in NE	s	high values = fast	behaviour	lab	139.4	95.48	23	145.46	115.79	20	a	"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming"
40	293	"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH"	10.1163/156853912X634430	Neolamprologus caudopunctatus	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	female biased	no	social monogamy	both	males larger	adults	Time spent in flower pot NE	s	high values = slow	behaviour	lab	332.64	258.47	23	439.1	289.66	20	a	"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming"
41	293	"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH"	10.1163/156853912X634430	Neolamprologus caudopunctatus	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	female biased	no	social monogamy	both	males larger	adults	No. of fin spreads NE	No	high values = fast	behaviour	lab	5.53	5.83	23	4.4	5.6	20	a	"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming"
42	293	"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH"	10.1163/156853912X634430	Neolamprologus caudopunctatus	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	female biased	no	social monogamy	both	males larger	adults	Time spent in flower pot NO	s	high values = slow	behaviour	lab	747.34	403.24	23	811.78	396.53	20	b	"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there"
43	293	"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH"	10.1163/156853912X634430	Neolamprologus caudopunctatus	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	female biased	no	social monogamy	both	males larger	adults	Time spent in hot zone NO	s	high values = fast	behaviour	lab	116.91	141.59	23	127.84	160.07	20	b	"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there"
44	293	"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH"	10.1163/156853912X634430	Neolamprologus caudopunctatus	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	female biased	no	social monogamy	both	males larger	adults	No. of touched objects	No	high values = fast	behaviour	lab	1.39	1.85	23	1.21	1.9	20	b	"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there"
45	293	"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH"	10.1163/156853912X634430	Neolamprologus caudopunctatus	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	female biased	no	social monogamy	both	males larger	adults	No. of fin spreads	No	high values = fast	behaviour	lab	5.91	8.1	23	2.73	3.89	20	b	"time spent in hot zone depends on the time in flower pot because the fish can only be in the hot zone when he is not in the flower pot, No. Of fin spreads can only be observed when the fish is not in the flower pot, no indication that time No. of depend on the time in the hot zone because it can only be touched there"
92	324	"Montiglio, PO; Garant, D; Thomas, D; Reale, D"	10.1016/j.anbehav.2010.08.014	Mus musculus	mammal	endotherm	determinate	artificial	global	iteroparous	male biased	no	polygyny	female	males larger	adults	open field activity	No	high values = fast	behaviour	lab	2321.88	10104.69404	191	2449.33	10306.82667	205	0	
96	324	"Montiglio, PO; Garant, D; Thomas, D; Reale, D"	10.1016/j.anbehav.2010.08.014	Tamias striatus	mammal	endotherm	determinate	cold	temperate	iteroparous	male biased	no	promiscuity	female	females larger	mixed	open field activity	line crosses	high values = fast	behaviour	semiwild	4.51	4.387185886	74	4.38	6.097540488	88	0	
67	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	316.67	558.7133521	18	300	495.0737418	18	a	"From Figure 1: strain 1 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT;  Individuals originate from 10 breeding pairs (beetles), offspring randomly spread over treatments"
68	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	1.869	5.663925317	18	2.884	11.66726189	18	b	From Figure 1: strain 1 selected for SHORTduration of tonic immobility NO CAFFEINE TREATMENT
69	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	275	424.3489215	18	366.68	707.2482025	18	c	From Figure 1: strain 2 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT
70	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	3.978	7.929495444	18	0.935	2.380121425	18	d	From Figure 1: strain 2  selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT
71	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	358.35	488.0012598	18	150	141.4496405	18	e	From Figure 1: strain 3  selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT
72	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	1.842	3.966869042	18	2.537	6.796710381	18	f	From Figure 1: strain 3 selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT
73	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	66.66	106.1084436	18	65.01	70.72482025	18	a	From Figure 1: strain 1 selected for LONG duration of tonic immobility CAFFEINE TREATMENT
74	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	0.347	0.907925107	18	3.875	9.062280508	18	b	From Figure 1: strain 1 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT
75	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	83.33	70.72482025	18	65.01	70.72482025	18	c	From Figure 1: strain 2 selected for LONG duration of tonic immobility CAFFEINE TREATMENT
76	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	3.605	11.10299068	18	4.005	6.796710381	18	d	From Figure 1: strain 2 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT
77	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	16.67	14.14496405	18	15.003	14.14496405	18	e	From Figure 1: strain 3  selected for LONG duration of tonic immobility CAFFEINE TREATMENT
78	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	duration of tonic immobility	s	high values = slow	behaviour	lab	1.842	4.043236575	18	1.068	2.151018828	18	f	From Figure 1: strain 3 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT
79	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	616.655	952.2935706	34	466.66	641.340568	34	g	From Figure 3: strain 1 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT
80	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	910.35	932.8939937	34	1290.586	870.7010607	34	h	From Figure 3: strain 1 selected for SHORTduration of tonic immobility NO CAFFEINE TREATMENT
81	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	433.33	388.6912533	34	466.66	680.2096933	34	i	From Figure 3: strain 2 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT
82	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	693.29	590.8328626	34	970.606	932.8939937	34	j	From Figure 3: strain 2 selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT
83	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	466.66	583.03688	34	459.994	835.6861946	34	k	From Figure 3: strain 3 selected for LONG duration of tonic immobility NO CAFFEINE TREATMENT
84	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	1279.92	1959.077387	34	1274.587	2456.62085	34	l	From Figure 3: strain 3 selected for SHORT duration of tonic immobility NO CAFFEINE TREATMENT
85	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	966.65	777.3825066	34	1026.664	874.5553199	34	g	From Figure 3: strain 1 selected for LONGduration of tonic immobility CAFFEINE TREATMENT
86	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	1093.265	621.9293291	34	1509.239	1306.051591	34	h	From Figure 3: strain 1 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT
87	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	733.32	777.3825066	34	766.65	971.7281333	34	i	From Figure 3: strain 2 selected for LONG duration of tonic immobility CAFFEINE TREATMENT
88	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	1253.225	777.4116614	34	1119.93	995.0869266	34	j	From Figure 3: strain 2 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT
89	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	893.324	874.5553199	34	933.32	874.5553199	34	k	From Figure 3: strain 3 selected for LONG duration of tonic immobility CAFFEINE TREATMENT
90	340	"Nakayama, S; Sasaki, K; Matsumura, K; Lewis, Z; Miyatake, T"	10.1016/j.jinsphys.2012.02.011	Tribolium confusum	arthropod	ectotherm	determinate	artificial	artificial	semelparous	no sex bias	no	promiscuity	none	no difference	adults	Waling activity	mm	high values = fast	behaviour	lab	901.277	839.6045943	34	1189.259	932.8939937	34	l	From Figure 3: strain 3 selected for SHORT duration of tonic immobility CAFFEINE TREATMENT
38	348	"Norton, WHJ; Stumpenhorst, K; Faus-Kessler, T; Folchert, A; Rohner, N; Harris, MP; Callebert, J; Bally-Cuif, L"	10.1523/JNEUROSCI.2892-11.2011	Danio rerio	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	unknown	no	promiscuity	none	females larger	adults	aggression	sec	high values = fast	behaviour	lab	31	34.78505426	10	26	15.8113883	10	0	Fig. 2B
49	368	"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP"	10.1093/beheco/arp142	Poecilia reticulata	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	male biased	no	promiscuity	none	females larger	adults	shoaling with opposite sex (first move)	s	high values = slow	behaviour	semiwild	18.3	19.79898987	32	14.9	12.80585803	31	a	the time to first move is included in the time to surface
50	368	"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP"	10.1093/beheco/arp142	Poecilia reticulata	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	male biased	no	promiscuity	none	females larger	adults	shoaling with same sex (first move)	s	high values = slow	behaviour	semiwild	13.5	27.71858582	32	44.2	57.34797294	31	b	the time to first move is included in the time to surface
51	368	"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP"	10.1093/beheco/arp142	Poecilia reticulata	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	male biased	no	promiscuity	none	females larger	adults	shoaling with opposite sex (time to surface)	s	high values = slow	behaviour	semiwild	233.2	193.4644153	32	159.9	185.4065533	31	a	the time to first move is included in the time to surface
52	368	"Piyapong, C; Krause, J; Chapman, BB; Ramnarine, IW; Louca, V; Croft, DP"	10.1093/beheco/arp142	Poecilia reticulata	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	male biased	no	promiscuity	none	females larger	adults	shoaling with same sex (time to surface)	s	high values = slow	behaviour	semiwild	72	102.9547473	32	299.6	221.5970216	31	b	the time to first move is included in the time to surface
46	421	"Schurch, R; Rothenberger, S; Heg, D"	10.1098/rstb.2010.0177	Neolamprologus pulcher	fish	ectotherm	indeterminate	Tropical	Tropical	iteroparous	male biased	no	polygyny	both	males larger	unknown	territory defence (dominant)	number of patches	high values = fast	behaviour	lab	3.1	1.9	26	1.8	1	26	0	
