sort,study,ref,source,species,taxon,thermy,growth,climate_pop,climate_sp,breeding,dispersal,migration,mating,parenting,SSD,ageclass,trait,unit,direction,category,background,Mean_M,SD_M,M_n,Mean_F,SD_F,F_n,behavioural categories,Dependency temporal level,Dependency individual level,Dependency behaviour,notes,include_1,reason for exclusion,include_2
22,210,"Hinton, MG; Bendelow, A; Lantz, S; Wey, TW; Schoen, L; Brockett, R; Karubian, J",10.1002/zoo.21078,Phoenicopterus ruber,bird,endotherm,determinate,tropical,tropical,iteroparous,no sex bias,yes,promiscuity,both,males larger,adults,No. Of aggression,No,high values = fast,behavior,wild,2.72,0.96,16,1.84,0.424264069,18,aggression,1,1,1,same trait measured in the same individuals before and after pair pair-bond ,1,,1
23,210,"Hinton, MG; Bendelow, A; Lantz, S; Wey, TW; Schoen, L; Brockett, R; Karubian, J",10.1002/zoo.21078,Phoenicopterus ruber,bird,endotherm,determinate,tropical,tropical,iteroparous,no sex bias,yes,promiscuity,both,males larger,adults,No. Of aggression,No,high values = fast,behavior,wild,4.41,0.84,16,2.76,0.806101731,18,aggression,1,1,1,same trait measured in the same individuals before and after pair pair-bond ,1,,1
24,284,"Mainwaring, MC; Beal, JL; Hartley, IR",10.1016/j.beproc.2011.03.005,Taeniopygia guttata,bird,endotherm,determinate,tropical,tropical,iteroparous,no sex bias,no,social monogamy,both,no difference,mixed,No. Of feeders visited in NE,No,high values = fast,behavior,lab,1.1,1.391941091,31,2.2,2.061552813,17,exploration,0,1,1,Fig 2 A ,1,,1
25,284,"Mainwaring, MC; Beal, JL; Hartley, IR",10.1016/j.beproc.2011.03.005,Taeniopygia guttata,bird,endotherm,determinate,tropical,tropical,iteroparous,no sex bias,no,social monogamy,both,no difference,mixed,NO score,score,high values = fast,behavior,lab,2,1.113552873,31,2.9,0.927698766,17,exploration,0,1,1,Fig 2B ,1,,1
26,471,"van den Brink, V; Dreiss, AN; Roulin, A",10.1016/j.anbehav.2012.07.001,Tyto alba,bird,endotherm,determinate,temperate,global,iteroparous,female biased,no,social monogamy,both,females larger,juvenile,dispersal distance,km,high values = fast,behavior,wild,8.7,7.53923073,116,11.2,7.475961477,69,dispersal,0,0,0, ,1,,1
27,194,"Harris, S; Eroukhmanoff, F; Green, KK; Svensson, EI; Pettersson, LB",10.1111/j.1420-9101.2011.02322.x,Asellus aquaticus,arthropod,ectotherm,indeterminate,temperate,temperate,semelparous,unknown,no,promiscuity,none,males larger,adults,Emergence time,s,high values = slow,behavior,semiwild,95,97.89279851,175,125,107.4802307,200,boldness,0,1,0, ,1,,1
28,194,"Harris, S; Eroukhmanoff, F; Green, KK; Svensson, EI; Pettersson, LB",10.1111/j.1420-9101.2011.02322.x,Asellus aquaticus,arthropod,ectotherm,indeterminate,temperate,temperate,semelparous,unknown,no,promiscuity,none,males larger,adults,No. Of stopps during exploration,No,high values = slow,behavior,semiwild,6.4,3.968626967,175,5.5,4.242640687,200,exploration,0,1,0, ,1,,1
29,467,"Vainikka, A; Rantala, MJ; Niemela, P; Hirvonen, H; Kortet, R",10.1007/s10211-010-0086-1,Astacus astacus,arthropod,ectotherm,unknown,cold,cold,iteroparous,unknown,no,promiscuity,female,males larger,juvenile,Emergence time,s,high values = slow,behavior,lab,48,59.16079783,35,10,57.64980486,46,boldness,0,0,0,Fig 2 (control) ,1,,1
30,348,"Norton, WHJ; Stumpenhorst, K; Faus-Kessler, T; Folchert, A; Rohner, N; Harris, MP; Callebert, J; Bally-Cuif, L",10.1523/JNEUROSCI.2892-11.2011,Danio rerio,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,unknown,no,promiscuity,none,females larger,adults,aggression,sec,high values = fast,behavior,lab,31,34.78505426,10,26,15.8113883,10,aggression,0,0,0,Fig. 2B ,1,,1
31,293,"Martins, CIM; Schaedelin, FC; Mann, M; Blum, C; Mandl, I; Urban, D; Grill, J; Schosswender, J; Wagner, RH",10.1163/156853912X634430,Neolamprologus caudopunctatus,fish,ectotherm,indeterminate,Tropical,Tropical,iteroparous,female biased,no,social monogamy,both,males larger,adults,time spent swimming in NE,s,high values = fast,behavior,lab,139.4,95.48,23,145.46,115.79,20,exploration,0,1,1,"time in flower pot and time swimming add up to 100 % of the time, No. Of fin spreads could only be observed during time spent swimming ",1,,1
