Lissotriton_boscai
Melopsittacus_undulatus
Parus_major
Phoenicopterus_ruber
Taeniopygia_guttata
Tyto_alba
Asellus_aquaticus
Astacus_astacus
Danio_rerio
Neolamprologus_caudopunctatus
Poecilia_reticulata
Acheta_domesticus
Tribolium_confusum
Liopholis_whitii
Mus_musculus
Sus_scrofa
Tamias_striatus
Myodes_glareolus
Cervus_elaphus
Nicrophorus_vespilloides
Bos_taurus
Callosobruchus_maculatus
Papio_hamadryas
Pholcus_phalangioides
Drosophila_melanogaster
Plodia_interpunctella
Choristoneura_rosaceana
Scathophaga_stercoraria
Sepsis_cynipsea
Ovis_aries
Gallus_gallus
Gnatocerus_cornutus
Oreochromis_niloticus
Bicyclus_anynana
Tenebrio_molitor
Uta_stansburiana
Molothrus_ater
Gerris_gracilicornis
Microtus_arvalis
Zonotrichia_albicollis
Setophaga_caerulescens
Artibeus_jamaicensis
Passer_montanus
Ficedula_albicollis
Ophryotrocha_labronica
Pongo_pygmaeus
Pongo_abelii
Melospiza_georgiana
Pygoscelis_adeliae
Pagodroma_nivea
Diomedea_exulans
Oceanodroma_leucorhoa
Troglodytes_aedon
Oncorhynchus_nerka
Calcarius_pictus
Carpodacus_mexicanus
Cavia_aperea
Zenaida_macroura
Rhagoletis_cerasi
Myioborus_miniatus
Sterna_hirundo
Upupa_epops
Lithobates_sylvaticus
Thamnophilus_atrinucha
Setophaga_ruticilla
Salmo_salar
Glis_glis
Anolis_carolinensis
Gasterosteus_aculeatus
